sample,noise_level,rank,candidate_x,candidate_y,gt_x,gt_y,template_score,gray_score,edge_score,gradient_score,structural_score,center_distance,distance_to_gt,label
sample_001,clean,1,278.0,433.0,279.0,433.1,0.9074140787124634,0.9537071883678436,0.7248106300830841,0.935409277677536,0.9006087124347687,0.16397103402735497,1.0049875621120912,1
sample_001,clean,2,278.0,481.0,279.0,433.1,0.8778853416442871,0.9389427602291107,0.6685207486152649,0.9035701751708984,0.8707093238830567,0.15755157885594165,47.910437276234475,0
sample_001,clean,3,278.0,385.0,279.0,433.1,0.8403040766716003,0.9201526641845703,0.6298266649246216,0.8730690479278564,0.8432540178298951,0.17678942276052603,48.110393887391965,0
sample_001,clean,4,278.0,338.0,279.0,433.1,0.8400507569313049,0.9200261533260345,0.6714664399623871,0.8884762525558472,0.8576942503452301,0.19432961688841976,95.1052574782278,0
sample_001,clean,5,278.0,529.0,279.0,433.1,0.709815263748169,0.8549077212810516,0.6172682121396065,0.8072914183139801,0.788333298265934,0.15831140198987562,95.905213622618,0
sample_001,clean,6,553.0,757.0,279.0,433.1,0.5130905508995056,0.7565454840660095,0.5553834997117519,0.6328926533460617,0.666851954907179,0.18555053220079967,424.2489952846088,0
sample_001,clean,7,272.0,782.0,279.0,433.1,0.5028144717216492,0.7514069974422455,0.5229313801974058,0.7208715826272964,0.6934977080672979,0.2564254277562972,348.97021362861324,0
sample_001,clean,8,553.0,709.0,279.0,433.1,0.49846625328063965,0.7492322623729706,0.5543867349624634,0.6213524639606476,0.65911123752594,0.1524631102922933,388.84033998544953,0
sample_001,clean,9,272.0,710.0,279.0,433.1,0.497724711894989,0.7488619983196259,0.540442980825901,0.7332154810428619,0.7009195879101753,0.21918485349129394,276.98846546381674,0
sample_001,clean,10,553.0,637.0,279.0,433.1,0.49342048168182373,0.746709868311882,0.5375641733407974,0.6146550104022026,0.6520587861537934,0.10387011119662865,341.54239853933217,0
sample_001,clean,11,553.0,662.0,279.0,433.1,0.4894362986087799,0.7447183579206467,0.5642585158348083,0.6171533167362213,0.6576003730297089,0.12052593081988622,357.0311050874979,0
sample_001,clean,12,272.0,638.0,279.0,433.1,0.48476341366767883,0.7423818856477737,0.5307634528726339,0.7174841612577438,0.6900991093367339,0.1884515852944729,205.01953565453218,0
sample_001,clean,13,572.0,733.0,279.0,433.1,0.48315054178237915,0.7415744811296463,0.5362348034977913,0.759209007024765,0.7075603559613228,0.17244274412105604,419.2720000190807,0
sample_001,clean,14,242.0,433.0,279.0,433.1,0.481511652469635,0.7407572716474533,0.5868851020932198,0.514128333888948,0.6193312626332045,0.18848474739352256,37.00013513488836,0
sample_001,clean,15,278.0,290.0,279.0,433.1,0.4811336398124695,0.7405668348073959,0.5830356627702713,0.738461509346962,0.7082184702157974,0.21608331726442925,143.10349401744182,0
sample_001,clean,16,242.0,481.0,279.0,433.1,0.47719258069992065,0.7385960072278976,0.5658340826630592,0.5035656895488501,0.610031495243311,0.18292758129926714,60.52611006830026,0
sample_001,clean,17,572.0,781.0,279.0,433.1,0.4706101715564728,0.7353046536445618,0.5275040864944458,0.7571605741977692,0.7024869084358216,0.20511582094026778,454.8443799806698,0
sample_001,clean,18,553.0,805.0,279.0,433.1,0.4683185815811157,0.7341590970754623,0.5336976423859596,0.6134881898760796,0.6457984432578087,0.21889952032839177,461.9368030369522,0
sample_001,clean,19,260.0,457.0,279.0,433.1,0.46723613142967224,0.7336180210113525,0.59274572879076,0.6464340537786484,0.6705699756741523,0.17240794645259247,30.5321142405828,0
sample_001,clean,20,254.0,746.0,279.0,433.1,0.4670882225036621,0.7335440367460251,0.5559466555714607,0.5665476992726326,0.6312260255217552,0.246,313.89713283176064,0
sample_001,clean,21,242.0,361.0,279.0,433.1,0.4659956991672516,0.7329980432987213,0.5455382168292999,0.5025976237375289,0.6033459101803601,0.20722572234160508,81.03955824163903,0
sample_001,clean,22,254.0,674.0,279.0,433.1,0.4627167284488678,0.7313583642244339,0.5572144389152527,0.5689312964677811,0.6315587520599366,0.21306337085477645,242.1937447581997,0
sample_001,clean,23,259.0,505.0,279.0,433.1,0.45514795184135437,0.7275738716125488,0.5648440569639206,0.6106518730521202,0.6482591092586518,0.1704494059831245,74.62981977735171,0
sample_001,clean,24,259.0,409.0,279.0,433.1,0.45420169830322266,0.727101132273674,0.5557116493582726,0.5968688428401947,0.6407303199172021,0.18215652609774924,31.317886263284134,0
