sample,gt_x,gt_y,v1_x,v1_y,v1_error,v1_score,v1_runtime_sec,v3_x,v3_y,v3_error,v3_matches,v3_runtime_sec
sample_001,279.0,433.1,278.0,433.0,1.0049875621120912,0.9074140787124634,0.07296050013974309,593.19970703125,300.9680480957031,340.85232669377916,36,0.29487610002979636
sample_002,288.4,438.1,288.0,438.0,0.4123105625617495,0.9064276218414307,0.08173430012539029,298.6734924316406,60.94738006591797,377.2925169810357,34,0.3069362002424896
sample_003,149.2,544.8,148.0,545.0,1.2165525060596403,0.9368916153907776,0.07689339993521571,215.86264038085938,494.100341796875,83.75179379847025,32,0.28606850001960993
sample_004,223.7,669.3,223.0,669.0,0.7615773105863625,0.9280127286911011,0.07348660007119179,245.21542358398438,224.35711669921875,445.4627738116967,7,0.22084360010921955
sample_005,690.1,56.9,690.0,57.0,0.1414213562373266,0.8895329833030701,0.06282739993184805,694.314697265625,703.1105346679688,646.2242790153454,30,0.2602361999452114
sample_006,515.3,903.8,514.0,904.0,1.3152946437965525,0.9270864129066467,0.0666010002605617,428.7206115722656,276.5002136230469,633.2464074032252,16,0.28580320021137595
sample_007,300.1,162.7,300.0,163.0,0.3162277660168559,0.9352273941040039,0.0667028003372252,257.2348327636719,56.92180633544922,114.13346931173865,16,0.2325744000263512
sample_008,586.9,289.5,586.0,289.0,1.0295630140986802,0.8819860816001892,0.07602779986336827,746.1600341796875,585.5011596679688,336.12563873007,3,0.2866524001583457
sample_009,707.9,706.5,779.0,716.0,71.73186181885985,0.9263994097709656,0.06326219998300076,148.591064453125,129.55003356933594,803.5532024371023,2,0.24327069986611605
sample_010,807.6,598.1,807.0,598.0,0.6082762530298481,0.9170948266983032,0.06404259987175465,321.28765869140625,741.128173828125,506.90901729763556,4,0.26545280031859875
sample_011,950.0,557.5,949.0,558.0,1.118033988749895,0.8824501633644104,0.06282440014183521,824.1444091796875,720.6762084960938,206.0730568509396,32,0.25399799970909953
sample_012,550.7,272.0,550.0,272.0,0.7000000000000455,0.8938208222389221,0.06901380000635982,623.27587890625,447.3238220214844,189.75168185614532,28,0.2635023999027908
sample_013,493.7,823.7,341.0,824.0,152.70029469519696,0.8793200254440308,0.06931950012221932,229.5513916015625,295.6213684082031,590.4587440818333,15,0.24250249983742833
sample_014,548.6,151.1,548.0,151.0,0.6082762530298435,0.9325800538063049,0.06738619972020388,310.0489807128906,676.763671875,577.2598069604591,22,0.26994350040331483
sample_015,130.1,545.9,129.0,546.0,1.1045361017187225,0.9363717436790466,0.06226660031825304,440.59716796875,436.7111511230469,329.1362879350866,4,0.2586091002449393
sample_016,130.1,545.9,129.0,546.0,1.1045361017187225,0.9363717436790466,0.06461870018392801,440.59716796875,436.7111511230469,329.1362879350866,4,0.25787240033969283
sample_017,543.6,571.6,543.0,572.0,0.7211102550928041,0.8317611813545227,0.06282249977812171,245.6372833251953,210.1703338623047,468.41561042800004,13,0.24808849999681115
sample_018,290.2,422.7,290.0,423.0,0.36055512754640207,0.9182989001274109,0.06505150021985173,299.16497802734375,488.01580810546875,65.92818531933952,6,0.24723830027505755
sample_019,715.6,838.9,714.0,839.0,1.6031219541881638,0.9102736711502075,0.060774000361561775,810.1083984375,592.3634643554688,264.0304921459422,21,0.253895899746567
sample_020,883.0,880.6,882.0,881.0,1.0770329614268923,0.8709844946861267,0.06428669998422265,794.6675415039062,840.5104370117188,97.00410447272579,7,0.2255629999563098
sample_021,640.4,721.9,639.0,722.0,1.4035668847617988,0.9534316658973694,0.06403869995847344,239.9377899169922,824.89013671875,413.4935912029519,4,0.23964439984411
sample_022,578.3,882.0,577.0,882.0,1.2999999999999545,0.9256228804588318,0.06377279991284013,599.501953125,879.937744140625,21.302012006949617,3,0.2529950998723507
sample_023,670.9,337.1,692.0,337.0,21.100236965494034,0.9062320590019226,0.0655749998986721,441.84197998046875,97.31810760498047,331.60659290159583,8,0.26714680017903447
sample_024,695.3,283.5,695.0,284.0,0.5830951894845067,0.892265796661377,0.06601019995287061,750.5397338867188,296.0295104980469,56.64288863746424,26,0.23476060014218092
sample_025,439.7,875.5,438.0,876.0,1.772004514666924,0.8685331344604492,0.06494739977642894,748.6597900390625,404.718994140625,563.1082554349088,50,0.22805429995059967
sample_026,255.8,134.0,256.0,91.0,43.000465113763596,0.8920596837997437,0.06559620006009936,298.39215087890625,326.6484069824219,197.30053225816792,24,0.2692189998924732
sample_027,876.7,234.7,876.0,235.0,0.7615773105864371,0.8874817490577698,0.06342949997633696,776.115966796875,345.2129821777344,149.43315216250912,22,0.2754934001713991
sample_028,252.4,838.7,251.0,839.0,1.4317821063276315,0.8699113726615906,0.045417699962854385,384.09130859375,60.76312255859375,789.0046806213635,33,0.19108140002936125
sample_029,857.1,688.0,856.0,688.0,1.1000000000000227,0.9439880847930908,0.04539029998704791,620.2960815429688,519.5462646484375,290.6075648542181,3,0.18543710000813007
sample_030,767.7,590.7,767.0,591.0,0.7615773105864148,0.8864704966545105,0.04739710036665201,813.3984985351562,673.4664306640625,94.54435368247398,17,0.1974336002022028
