sample,noise_level,best_rank,best_x,best_y,best_probability,second_probability,confidence_gap,confidence,error
sample_001,clean,1,278.0,433.0,0.99954853700481,0.0,0.99954853700481,HIGH,1.0049875621120912
sample_002,clean,1,288.0,438.0,0.9998941848338508,0.0,0.9998941848338508,HIGH,0.4123105625617495
sample_003,low,1,148.0,545.0,0.9998941848338508,0.0,0.9998941848338508,HIGH,1.2165525060596405
sample_003,medium,1,148.0,545.0,0.9997935406136004,0.0,0.9997935406136004,HIGH,1.2165525060596405
sample_004,clean,1,223.0,669.0,0.9518123380464012,0.0712280441116052,0.880584293934796,HIGH,0.7615773105863625
sample_004,medium,1,223.0,669.0,0.9679969919662956,0.0970029064073929,0.8709940855589027,HIGH,0.7615773105863625
sample_005,low,1,690.0,57.0,0.9995986371950434,0.0,0.9995986371950434,HIGH,0.1414213562373266
sample_007,low,1,300.0,163.0,0.9991148494499916,0.1441911977243187,0.8549236517256729,HIGH,0.3162277660168559
sample_008,medium,1,586.0,289.0,0.999842676147396,0.0,0.999842676147396,HIGH,1.0295630140986802
sample_010,clean,1,807.0,598.0,0.998364590526075,0.0,0.998364590526075,HIGH,0.6082762530298481
sample_011,clean,1,949.0,558.0,0.9993328627076452,0.0,0.9993328627076452,HIGH,1.118033988749895
sample_011,low,1,949.0,558.0,0.9995681568252922,0.0,0.9995681568252922,HIGH,1.118033988749895
sample_012,clean,1,550.0,272.0,0.9941780481205056,0.0,0.9941780481205056,HIGH,0.7000000000000455
sample_012,high,1,550.0,272.0,0.9591446212071923,0.0,0.9591446212071923,HIGH,0.7000000000000455
sample_012,medium,1,550.0,272.0,0.9928202731631696,0.0,0.9928202731631696,HIGH,0.7000000000000455
sample_014,medium,1,548.0,151.0,0.9998747906935334,0.0,0.9998747906935334,HIGH,0.6082762530298435
sample_016,low,1,129.0,546.0,0.9995148004387184,0.0,0.9995148004387184,HIGH,1.1045361017187223
sample_017,clean,1,543.0,572.0,0.9998439451959904,0.0,0.9998439451959904,HIGH,0.7211102550928041
sample_017,high,1,543.0,572.0,0.989845730910276,0.0,0.989845730910276,HIGH,0.7211102550928041
sample_018,low,1,290.0,423.0,0.9998998861205808,0.0,0.9998998861205808,HIGH,0.360555127546402
sample_019,high,1,714.0,839.0,0.9997112775542482,0.0,0.9997112775542482,HIGH,1.6031219541881638
sample_020,clean,1,882.0,881.0,0.9997586330157684,0.0,0.9997586330157684,HIGH,1.0770329614268923
sample_023,clean,1,692.0,337.0,0.5387816387764971,0.484289807760005,0.054491831016492076,LOW,21.10023696549404
sample_023,high,2,649.0,337.0,0.8241570547675214,0.3516103318727098,0.47254672289481164,MEDIUM,21.900228309312187
sample_023,medium,1,649.0,337.0,0.9995737778276322,0.1948030050883167,0.8047707727393155,HIGH,21.900228309312187
sample_025,high,1,438.0,876.0,0.9260394902498572,0.174604902718009,0.7514345875318482,HIGH,1.772004514666924
sample_027,clean,1,876.0,235.0,0.9998976216002702,0.0,0.9998976216002702,HIGH,0.7615773105864371
sample_027,medium,1,876.0,235.0,0.999610917995932,0.0,0.999610917995932,HIGH,0.7615773105864371
sample_028,high,1,251.0,839.0,0.9999042506073595,0.0,0.9999042506073595,HIGH,1.4317821063276317
sample_029,low,1,856.0,688.0,0.9996933497767564,0.0,0.9996933497767564,HIGH,1.1000000000000227
