sample,noise_level,rank,candidate_x,candidate_y,gt_x,gt_y,template_score,gray_score,edge_score,gradient_score,structural_score,center_distance,template_gap,gray_gap,edge_gap,gradient_gap,structural_gap,combined_score,combined_gap,normalized_rank,distance_from_template_best,nearest_candidate_distance,neighborhood_density_50,neighborhood_density_100,distance_to_gt,label
sample_001,clean,1,278.0,433.0,279.0,433.1,0.9074140787124634,0.9537071883678436,0.7248106300830841,0.935409277677536,0.9006087124347687,0.1639710340273549,0.0,0.0,0.0,0.0,0.0,0.8912054944038391,0.0,0.0,0.0,28.30194339616981,6,11,1.0049875621120912,1
sample_001,clean,2,278.0,481.0,279.0,433.1,0.8778853416442871,0.9389427602291108,0.6685207486152649,0.9035701751708984,0.8707093238830567,0.1575515788559416,0.02952873706817627,0.0147644281387328,0.056289881467819214,0.03183910250663757,0.029899388551712036,0.8593410286307335,0.031864465773105644,0.034482758620689655,48.0,28.30194339616981,6,9,47.91043727623448,0
sample_001,clean,3,278.0,385.0,279.0,433.1,0.8403040766716003,0.9201526641845704,0.6298266649246216,0.8730690479278564,0.8432540178298951,0.176789422760526,0.06711000204086304,0.033554524183273204,0.09498396515846252,0.062340229749679565,0.057354694604873635,0.8278527355194092,0.06335275888442993,0.06896551724137931,48.0,30.610455730027933,4,9,48.110393887391965,0
sample_001,clean,4,278.0,338.0,279.0,433.1,0.8400507569313049,0.9200261533260344,0.6714664399623871,0.8884762525558472,0.8576942503452301,0.1943296168884197,0.06736332178115845,0.03368103504180919,0.05334419012069702,0.04693302512168884,0.04291446208953864,0.8399732166528701,0.05123227775096906,0.10344827586206896,95.0,42.720018726587654,3,5,95.1052574782278,0
sample_001,clean,5,278.0,529.0,279.0,433.1,0.709815263748169,0.8549077212810516,0.6172682121396065,0.8072914183139801,0.788333298265934,0.1583114019898756,0.19759881496429443,0.09879946708679199,0.10754241794347763,0.1281178593635559,0.11227541416883469,0.7528959124535322,0.13830958195030696,0.13793103448275862,96.0,30.610455730027933,2,6,95.905213622618,0
sample_001,clean,6,553.0,757.0,279.0,433.1,0.5130905508995056,0.7565454840660095,0.5553834997117519,0.6328926533460617,0.666851954907179,0.1855505322007996,0.39432352781295776,0.1971617043018341,0.16942713037133217,0.3025166243314743,0.23375675752758973,0.610665434487164,0.2805400599166751,0.1724137931034483,424.97176376790026,30.610455730027933,5,6,424.2489952846088,0
sample_001,clean,7,272.0,782.0,279.0,433.1,0.5028144717216492,0.7514069974422455,0.5229313801974058,0.7208715826272964,0.6934977080672979,0.2564254277562972,0.4045996069908142,0.20230019092559814,0.2018792498856783,0.21453769505023956,0.20711100436747076,0.6248689563013614,0.2663365381024777,0.20689655172413793,349.05157212079706,36.0,2,4,348.97021362861324,0
sample_001,clean,8,553.0,709.0,279.0,433.1,0.4984662532806396,0.7492322623729706,0.5543867349624634,0.6213524639606476,0.65911123752594,0.1524631102922933,0.4089478254318238,0.20447492599487305,0.17042389512062073,0.3140568137168884,0.24149747490882867,0.6011754658818245,0.29003002852201465,0.2413793103448276,389.61647809095547,30.610455730027933,4,8,388.84033998544953,0
sample_001,clean,9,272.0,710.0,279.0,433.1,0.497724711894989,0.7488619983196259,0.540442980825901,0.7332154810428619,0.7009195879101753,0.2191848534912939,0.40968936681747437,0.20484519004821777,0.18436764925718307,0.20219379663467407,0.19968912452459342,0.6295401742309332,0.2616653201729059,0.27586206896551724,277.0649743291274,36.0,3,7,276.98846546381674,0
sample_001,clean,10,553.0,637.0,279.0,433.1,0.4934204816818237,0.746709868311882,0.5375641733407974,0.6146550104022026,0.6520587861537934,0.1038701111966286,0.4139935970306397,0.2069973200559616,0.18724645674228668,0.3207542672753334,0.24854992628097528,0.5940100100636482,0.29719548434019094,0.3103448275862069,342.4047312757229,25.0,2,4,341.54239853933217,0
